"Year","SpectralChangeDay"
1985,0.73660003537944
1986,4.3470723509641
1987,1.963559172121
1988,3.1795506810543
1989,2.9495842915266
1990,4.0215814611711
1991,6.3720148593667
1992,2.1786661949407
1993,4.9073058552981
1994,13.084910666903
1995,8.5519193348664
1996,6.5388289403856
1997,1.3111622147532
1998,4.6058729877941
1999,15.115513886432
2000,10.599504687776
2001,6.7456217937378
2002,5.8560056607111
2003,4.5522731293119
2004,2.3769679816027
2005,3.1438174420662
2006,15.733062090925
2007,7.6246240934017
2008,4.8781178135503
2009,3.3042632230674
2010,1.9920396249779
2011,3.7051123297364
2012,2.5996815849991
2013,2.7144878825402
2014,2.3980187511056
2015,4.2740137979834
2016,2.3474261454095
2017,4.9446311692906
2018,3.6005660711127
2019,1.692375729701
2020,7.3711303732531
2021,6.9228728108969
2022,8.8508756412524
2023,7.14081018928
